POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
653453,648392,648392,USD,1800,2100,SINGAPORE,LOS ANGELES,,270,300,1530,1800,PHNOM PENH,653453,PHNOM PENH
653453,648146,648146,USD,1800,2100,SINGAPORE,LONG BEACH,,270,300,1530,1800,PHNOM PENH,653453,PHNOM PENH
653453,656664,656664,USD,1800,2100,SINGAPORE,OAKLAND,,270,300,1530,1800,PHNOM PENH,653453,PHNOM PENH
653453,648392,656569,USD,3800,4450,SINGAPORE,LOS ANGELES,CHICAGO,270,300,3530,4150,PHNOM PENH,653453,PHNOM PENH
653453,648146,656569,USD,3800,4450,SINGAPORE,LONG BEACH,CHICAGO,270,300,3530,4150,PHNOM PENH,653453,PHNOM PENH
653453,648392,660244,USD,4310,5050,SINGAPORE,LOS ANGELES,CINCINNATI,270,300,4040,4750,PHNOM PENH,653453,PHNOM PENH
653453,648146,660244,USD,4310,5050,SINGAPORE,LONG BEACH,CINCINNATI,270,300,4040,4750,PHNOM PENH,653453,PHNOM PENH
653453,648392,657532,USD,4310,5050,SINGAPORE,LOS ANGELES,CLEVELAND,270,300,4040,4750,PHNOM PENH,653453,PHNOM PENH
653453,648146,657532,USD,4310,5050,SINGAPORE,LONG BEACH,CLEVELAND,270,300,4040,4750,PHNOM PENH,653453,PHNOM PENH
653453,648392,660272,USD,4310,5050,SINGAPORE,LOS ANGELES,COLUMBUS,270,300,4040,4750,PHNOM PENH,653453,PHNOM PENH
653453,648146,660272,USD,4310,5050,SINGAPORE,LONG BEACH,COLUMBUS,270,300,4040,4750,PHNOM PENH,653453,PHNOM PENH
653453,648392,657529,USD,3800,4450,SINGAPORE,LOS ANGELES,DALLAS,270,300,3530,4150,PHNOM PENH,653453,PHNOM PENH
653453,648146,657529,USD,3800,4450,SINGAPORE,LONG BEACH,DALLAS,270,300,3530,4150,PHNOM PENH,653453,PHNOM PENH
653453,648392,657100,USD,4480,5250,SINGAPORE,LOS ANGELES,DENVER,270,300,4210,4950,PHNOM PENH,653453,PHNOM PENH
653453,648146,657100,USD,4480,5250,SINGAPORE,LONG BEACH,DENVER,270,300,4210,4950,PHNOM PENH,653453,PHNOM PENH
653453,648392,659550,USD,4650,5450,SINGAPORE,LOS ANGELES,DETROIT,270,300,4380,5150,PHNOM PENH,653453,PHNOM PENH
653453,648146,659550,USD,4650,5450,SINGAPORE,LONG BEACH,DETROIT,270,300,4380,5150,PHNOM PENH,653453,PHNOM PENH
653453,648392,660273,USD,4055,4750,SINGAPORE,LOS ANGELES,EL PASO,270,300,3785,4450,PHNOM PENH,653453,PHNOM PENH
653453,648146,660273,USD,4055,4750,SINGAPORE,LONG BEACH,EL PASO,270,300,3785,4450,PHNOM PENH,653453,PHNOM PENH
653453,648392,657381,USD,4140,4850,SINGAPORE,LOS ANGELES,HOUSTON,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,648146,657381,USD,4140,4850,SINGAPORE,LONG BEACH,HOUSTON,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,648392,657530,USD,6350,7450,SINGAPORE,LOS ANGELES,INDIANAPOLIS,270,300,6080,7150,PHNOM PENH,653453,PHNOM PENH
653453,648146,657530,USD,6350,7450,SINGAPORE,LONG BEACH,INDIANAPOLIS,270,300,6080,7150,PHNOM PENH,653453,PHNOM PENH
653453,648392,660249,USD,3800,4450,SINGAPORE,LOS ANGELES,KANSAS CITY,270,300,3530,4150,PHNOM PENH,653453,PHNOM PENH
653453,648146,660249,USD,3800,4450,SINGAPORE,LONG BEACH,KANSAS CITY,270,300,3530,4150,PHNOM PENH,653453,PHNOM PENH
653453,648392,657099,USD,4650,5450,SINGAPORE,LOS ANGELES,LOUISVILLE,270,300,4380,5150,PHNOM PENH,653453,PHNOM PENH
653453,648146,657099,USD,4650,5450,SINGAPORE,LONG BEACH,LOUISVILLE,270,300,4380,5150,PHNOM PENH,653453,PHNOM PENH
653453,648392,657527,USD,3885,4550,SINGAPORE,LOS ANGELES,MEMPHIS,270,300,3615,4250,PHNOM PENH,653453,PHNOM PENH
653453,648146,657527,USD,3885,4550,SINGAPORE,LONG BEACH,MEMPHIS,270,300,3615,4250,PHNOM PENH,653453,PHNOM PENH
653453,648392,660203,USD,3885,4550,SINGAPORE,LOS ANGELES,NEW ORLEANS,270,300,3615,4250,PHNOM PENH,653453,PHNOM PENH
653453,648146,660203,USD,3885,4550,SINGAPORE,LONG BEACH,NEW ORLEANS,270,300,3615,4250,PHNOM PENH,653453,PHNOM PENH
653453,648392,657531,USD,3970,4650,SINGAPORE,LOS ANGELES,SALT LAKE CITY,270,300,3700,4350,PHNOM PENH,653453,PHNOM PENH
653453,648146,657531,USD,3970,4650,SINGAPORE,LONG BEACH,SALT LAKE CITY,270,300,3700,4350,PHNOM PENH,653453,PHNOM PENH
653453,656664,657531,USD,3715,4350,SINGAPORE,OAKLAND,SALT LAKE CITY,270,300,3445,4050,PHNOM PENH,653453,PHNOM PENH
653453,648392,660253,USD,5075,5950,SINGAPORE,LOS ANGELES,SAN ANTONIO,270,300,4805,5650,PHNOM PENH,653453,PHNOM PENH
653453,648146,660253,USD,5075,5950,SINGAPORE,LONG BEACH,SAN ANTONIO,270,300,4805,5650,PHNOM PENH,653453,PHNOM PENH
653453,648392,656775,USD,5670,6650,SINGAPORE,LOS ANGELES,ATLANTA,270,300,5400,6350,PHNOM PENH,653453,PHNOM PENH
653453,648146,656775,USD,5670,6650,SINGAPORE,LONG BEACH,ATLANTA,270,300,5400,6350,PHNOM PENH,653453,PHNOM PENH
653453,656495,656495,USD,1530,2100,SINGAPORE,SEATTLE,,270,300,1260,1800,PHNOM PENH,653453,PHNOM PENH
653453,656496,656496,USD,1530,2100,SINGAPORE,TACOMA,,270,300,1260,1800,PHNOM PENH,653453,PHNOM PENH
653453,656495,656569,USD,3630,4250,SINGAPORE,SEATTLE,CHICAGO,270,300,3360,3950,PHNOM PENH,653453,PHNOM PENH
653453,656495,660244,USD,4140,4850,SINGAPORE,SEATTLE,CINCINNATI,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,656495,657532,USD,4140,4850,SINGAPORE,SEATTLE,CLEVELAND,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,656495,660272,USD,4140,4850,SINGAPORE,SEATTLE,COLUMBUS,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,656495,659550,USD,4225,4950,SINGAPORE,SEATTLE,DETROIT,270,300,3955,4650,PHNOM PENH,653453,PHNOM PENH
653453,656495,657530,USD,6180,7250,SINGAPORE,SEATTLE,INDIANAPOLIS,270,300,5910,6950,PHNOM PENH,653453,PHNOM PENH
653453,656495,657099,USD,4480,5250,SINGAPORE,SEATTLE,LOUISVILLE,270,300,4210,4950,PHNOM PENH,653453,PHNOM PENH
653453,656495,657527,USD,3715,4350,SINGAPORE,SEATTLE,MEMPHIS,270,300,3445,4050,PHNOM PENH,653453,PHNOM PENH
653453,656495,658126,USD,3630,4250,SINGAPORE,SEATTLE,OMAHA,270,300,3360,3950,PHNOM PENH,653453,PHNOM PENH
