POL,POD,Place of Delivery,Curr,D20,D40,Note,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
649106,660208,660208,USD,2005,2500,"1,2,4",YANTIAN,BALTIMORE,BALTIMORE,45,50,1960,2450,DALIAN,649106,DALIAN
649106,649220,649220,USD,2045,2550,"1,2,4",YANTIAN,NEW YORK,NEW YORK,45,50,2000,2500,DALIAN,649106,DALIAN
649106,657301,657301,USD,2045,2550,"1,2,4",YANTIAN,NORFOLK,NORFOLK,45,50,2000,2500,DALIAN,649106,DALIAN
649106,656034,656034,USD,2045,2550,"1,2,4",YANTIAN,SAVANNAH,SAVANNAH,45,50,2000,2500,DALIAN,649106,DALIAN
649106,656290,656290,USD,2045,2550,"1,2,4",YANTIAN,CHARLESTON,CHARLESTON,45,50,2000,2500,DALIAN,649106,DALIAN
649106,656034,656775,USD,2645,3300,"1,2,4",YANTIAN,SAVANNAH,"ATLANTA, GA",45,50,2600,3250,DALIAN,649106,DALIAN
649106,649220,660245,USD,3085,3850,"1,2,4",YANTIAN,NEW YORK,"BUFFALO, NY",45,50,3040,3800,DALIAN,649106,DALIAN
649106,656034,656284,USD,2645,3300,"1,2,4",YANTIAN,SAVANNAH,"CHARLOTTE, NC",45,50,2600,3250,DALIAN,649106,DALIAN
649106,656034,660242,USD,2845,3550,"1,2,4",YANTIAN,SAVANNAH,"CHATSWORTH, GA",45,50,2800,3500,DALIAN,649106,DALIAN
649106,649220,656569,USD,3085,3850,"1,2,4",YANTIAN,NEW YORK,"CHICAGO, IL",45,50,3040,3800,DALIAN,649106,DALIAN
649106,657301,656569,USD,3085,3850,"1,2,4",YANTIAN,NORFOLK,"CHICAGO, IL",45,50,3040,3800,DALIAN,649106,DALIAN
649106,649220,660244,USD,3085,3850,"1,2,4",YANTIAN,NEW YORK,"CINCINNATI, OH",45,50,3040,3800,DALIAN,649106,DALIAN
649106,657301,660244,USD,3085,3850,"1,2,4",YANTIAN,NORFOLK,"CINCINNATI, OH",45,50,3040,3800,DALIAN,649106,DALIAN
649106,649220,657532,USD,2965,3700,"1,2,4",YANTIAN,NEW YORK,"CLEVELAND, OH",45,50,2920,3650,DALIAN,649106,DALIAN
649106,657301,657532,USD,2965,3700,"1,2,4",YANTIAN,NORFOLK,"CLEVELAND, OH",45,50,2920,3650,DALIAN,649106,DALIAN
649106,649220,656909,USD,3125,3900,"1,2,4",YANTIAN,NEW YORK,"COLUMBUS, OH",45,50,3080,3850,DALIAN,649106,DALIAN
649106,657301,656909,USD,3125,3900,"1,2,4",YANTIAN,NORFOLK,"COLUMBUS, OH",45,50,3080,3850,DALIAN,649106,DALIAN
649106,657301,659550,USD,3045,3800,"1,2,4",YANTIAN,NORFOLK,"DETROIT, MI",45,50,3000,3750,DALIAN,649106,DALIAN
649106,656290,660248,USD,2685,3350,"1,2,4",YANTIAN,CHARLESTON,"DILLON, SC",45,50,2640,3300,DALIAN,649106,DALIAN
649106,656290,660243,USD,2965,3700,"1,2,4",YANTIAN,CHARLESTON,"GREER, SC",45,50,2920,3650,DALIAN,649106,DALIAN
649106,657301,660249,USD,3085,3850,"1,2,4",YANTIAN,NORFOLK,"KANSAS CITY, KS",45,50,3040,3800,DALIAN,649106,DALIAN
649106,657301,657099,USD,3085,3850,"1,2,4",YANTIAN,NORFOLK,"LOUISVILLE, KY",45,50,3040,3800,DALIAN,649106,DALIAN
649106,656034,657527,USD,2885,3600,"1,2,4",YANTIAN,SAVANNAH,"MEMPHIS, TN",45,50,2840,3550,DALIAN,649106,DALIAN
649106,656034,659680,USD,3005,3750,"1,2,4",YANTIAN,SAVANNAH,"NASHVILLE, TN",45,50,2960,3700,DALIAN,649106,DALIAN
649106,657301,660207,USD,3005,3750,"1,2,4",YANTIAN,NORFOLK,"PHILADELPHIA, PA",45,50,2960,3700,DALIAN,649106,DALIAN
649106,657301,657528,USD,3005,3750,"1,2,4",YANTIAN,NORFOLK,"ST LOUIS, MO",45,50,2960,3700,DALIAN,649106,DALIAN
649106,657525,657525,USD,2125,2650,"1,2,4",YANTIAN,TAMPA,TAMPA,45,50,2080,2600,DALIAN,649106,DALIAN
649106,657381,657381,USD,2125,2650,"1,2,4",YANTIAN,HOUSTON,HOUSTON,45,50,2080,2600,DALIAN,649106,DALIAN
649106,660236,660236,USD,2125,2650,"1,2,4",YANTIAN,MOBILE,MOBILE,45,50,2080,2600,DALIAN,649106,DALIAN
649106,660203,660203,USD,2125,2650,"1,2,4",YANTIAN,NEW ORLEANS,NEW ORLEANS,45,50,2080,2600,DALIAN,649106,DALIAN
649106,657381,657529,USD,3085,3850,"1,2,4",YANTIAN,HOUSTON,"DALLAS, TX",45,50,3040,3800,DALIAN,649106,DALIAN
649106,657381,657100,USD,3725,4650,"1,2,4",YANTIAN,HOUSTON,"DENVER, CO",45,50,3680,4600,DALIAN,649106,DALIAN
649106,660236,657527,USD,3325,4150,"1,2,4",YANTIAN,MOBILE,"MEMPHIS, TN",45,50,3280,4100,DALIAN,649106,DALIAN
649106,649304,649304,USD,2045,2550,"1,2,4",YANTIAN,MIAMI,MIAMI,45,50,2000,2500,DALIAN,649106,DALIAN
657001,660208,660208,USD,2095,2600,"1,2,4",YANTIAN,BALTIMORE,BALTIMORE,135,150,1960,2450,DONGGUAN,657001,DONGGUAN
657001,649220,649220,USD,2135,2650,"1,2,4",YANTIAN,NEW YORK,NEW YORK,135,150,2000,2500,DONGGUAN,657001,DONGGUAN
657001,657301,657301,USD,2135,2650,"1,2,4",YANTIAN,NORFOLK,NORFOLK,135,150,2000,2500,DONGGUAN,657001,DONGGUAN
657001,656034,656034,USD,2135,2650,"1,2,4",YANTIAN,SAVANNAH,SAVANNAH,135,150,2000,2500,DONGGUAN,657001,DONGGUAN
657001,656290,656290,USD,2135,2650,"1,2,4",YANTIAN,CHARLESTON,CHARLESTON,135,150,2000,2500,DONGGUAN,657001,DONGGUAN
657001,656034,656775,USD,2735,3400,"1,2,4",YANTIAN,SAVANNAH,"ATLANTA, GA",135,150,2600,3250,DONGGUAN,657001,DONGGUAN
657001,649220,660245,USD,3175,3950,"1,2,4",YANTIAN,NEW YORK,"BUFFALO, NY",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,656034,656284,USD,2735,3400,"1,2,4",YANTIAN,SAVANNAH,"CHARLOTTE, NC",135,150,2600,3250,DONGGUAN,657001,DONGGUAN
657001,656034,660242,USD,2935,3650,"1,2,4",YANTIAN,SAVANNAH,"CHATSWORTH, GA",135,150,2800,3500,DONGGUAN,657001,DONGGUAN
657001,649220,656569,USD,3175,3950,"1,2,4",YANTIAN,NEW YORK,"CHICAGO, IL",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,657301,656569,USD,3175,3950,"1,2,4",YANTIAN,NORFOLK,"CHICAGO, IL",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,649220,660244,USD,3175,3950,"1,2,4",YANTIAN,NEW YORK,"CINCINNATI, OH",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,657301,660244,USD,3175,3950,"1,2,4",YANTIAN,NORFOLK,"CINCINNATI, OH",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,649220,657532,USD,3055,3800,"1,2,4",YANTIAN,NEW YORK,"CLEVELAND, OH",135,150,2920,3650,DONGGUAN,657001,DONGGUAN
657001,657301,657532,USD,3055,3800,"1,2,4",YANTIAN,NORFOLK,"CLEVELAND, OH",135,150,2920,3650,DONGGUAN,657001,DONGGUAN
657001,649220,656909,USD,3215,4000,"1,2,4",YANTIAN,NEW YORK,"COLUMBUS, OH",135,150,3080,3850,DONGGUAN,657001,DONGGUAN
657001,657301,656909,USD,3215,4000,"1,2,4",YANTIAN,NORFOLK,"COLUMBUS, OH",135,150,3080,3850,DONGGUAN,657001,DONGGUAN
657001,657301,659550,USD,3135,3900,"1,2,4",YANTIAN,NORFOLK,"DETROIT, MI",135,150,3000,3750,DONGGUAN,657001,DONGGUAN
657001,656290,660248,USD,2775,3450,"1,2,4",YANTIAN,CHARLESTON,"DILLON, SC",135,150,2640,3300,DONGGUAN,657001,DONGGUAN
657001,656290,660243,USD,3055,3800,"1,2,4",YANTIAN,CHARLESTON,"GREER, SC",135,150,2920,3650,DONGGUAN,657001,DONGGUAN
657001,657301,660249,USD,3175,3950,"1,2,4",YANTIAN,NORFOLK,"KANSAS CITY, KS",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,657301,657099,USD,3175,3950,"1,2,4",YANTIAN,NORFOLK,"LOUISVILLE, KY",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,656034,657527,USD,2975,3700,"1,2,4",YANTIAN,SAVANNAH,"MEMPHIS, TN",135,150,2840,3550,DONGGUAN,657001,DONGGUAN
657001,656034,659680,USD,3095,3850,"1,2,4",YANTIAN,SAVANNAH,"NASHVILLE, TN",135,150,2960,3700,DONGGUAN,657001,DONGGUAN
657001,657301,660207,USD,3095,3850,"1,2,4",YANTIAN,NORFOLK,"PHILADELPHIA, PA",135,150,2960,3700,DONGGUAN,657001,DONGGUAN
657001,657301,657528,USD,3095,3850,"1,2,4",YANTIAN,NORFOLK,"ST LOUIS, MO",135,150,2960,3700,DONGGUAN,657001,DONGGUAN
657001,657525,657525,USD,2215,2750,"1,2,4",YANTIAN,TAMPA,TAMPA,135,150,2080,2600,DONGGUAN,657001,DONGGUAN
657001,657381,657381,USD,2215,2750,"1,2,4",YANTIAN,HOUSTON,HOUSTON,135,150,2080,2600,DONGGUAN,657001,DONGGUAN
657001,660236,660236,USD,2215,2750,"1,2,4",YANTIAN,MOBILE,MOBILE,135,150,2080,2600,DONGGUAN,657001,DONGGUAN
657001,660203,660203,USD,2215,2750,"1,2,4",YANTIAN,NEW ORLEANS,NEW ORLEANS,135,150,2080,2600,DONGGUAN,657001,DONGGUAN
657001,657381,657529,USD,3175,3950,"1,2,4",YANTIAN,HOUSTON,"DALLAS, TX",135,150,3040,3800,DONGGUAN,657001,DONGGUAN
657001,657381,657100,USD,3815,4750,"1,2,4",YANTIAN,HOUSTON,"DENVER, CO",135,150,3680,4600,DONGGUAN,657001,DONGGUAN
657001,660236,657527,USD,3415,4250,"1,2,4",YANTIAN,MOBILE,"MEMPHIS, TN",135,150,3280,4100,DONGGUAN,657001,DONGGUAN
657001,649304,649304,USD,2135,2650,"1,2,4",YANTIAN,MIAMI,MIAMI,135,150,2000,2500,DONGGUAN,657001,DONGGUAN
659690,660208,660208,USD,2140,2650,"1,2,4",YANTIAN,BALTIMORE,BALTIMORE,180,200,1960,2450,GAOMING,659690,GAOMING
659690,649220,649220,USD,2180,2700,"1,2,4",YANTIAN,NEW YORK,NEW YORK,180,200,2000,2500,GAOMING,659690,GAOMING
