Timestamp,2025-11-14T00:11:23.737Z
POL,Place of Receipt,D20,D40,Place of Receipt ID
SINGAPORE,PHNOM PENH,270,300,653453
SINGAPORE,SIHANOUKVILLE,495,550,656727
SHANGHAI,ANQING,210,230,
YANTIAN,BEIHAI,405,450,
SHANGHAI,CHANGSHA,380,525,
SHANGHAI,CHANGSHU,225,250,
SHANGHAI,CHANGZHOU,165,180,
SHANGHAI,CHENGDU,1115,1970,
SHANGHAI,CHIZHOU,270,300,
SHANGHAI,CHONGQING,540,600,
SHANGHAI,CHUZHOU,440,505,
SHANGHAI,DALIAN,90,100,649106
YANTIAN,DONGGUAN,90,100,657001
SHANGHAI,FULING,495,550,
YANTIAN,FUQING FUZHOU,90,100,
SHEKOU,GANZHOU,505,510,
YANTIAN,GAOMING,135,150,659690
YANTIAN,GONGYI,225,250,
NANSHA,GUIYANG,,600,
YANTIAN,HAIKOU,450,500,654210
NINGBO,HANGZHOU - XIAOSHAN,195,220,
NINGBO,HEFEI,360,330,
YANTIAN,HUA DU,180,200,
YANTIAN,HUANGPU,180,200,660197
SHANGHAI,HUANGSHI,225,250,
NINGBO,HUZHOU - CHANGXING,235,240,
YANTIAN,JIANGMEN,180,200,649091
SHANGHAI,JIANGYIN,160,175,
QINGDAO,JIAOZHOU,30,55,
SHANGHAI,JINGZHOU,360,400,649064
NINGBO,JINHUA - YIWU,255,270,
NINGBO,JINHUA,245,280,
YANTIAN,JIUJIANG,205,225,
SHANGHAI,LIANYUNGANG,135,150,649190
QINGDAO,LINQING,500,735,
SHANGHAI,LUZHOU,630,700,
SHANGHAI,MAANSHAN,195,215,
YANTIAN,MAFANG,270,300,
YANTIAN,MAOMING,270,300,
YANTIAN,MAWEI FUZHOU,90,100,
SHANGHAI,NANCHANG,380,420,660193
SHANGHAI,NANJING,90,100,649355
HONG KONG,NANSHA,135,150,657997
SHANGHAI,NANTONG - HAIAN,235,265,
SHANGHAI,NANTONG,180,200,654213
YANTIAN,QINGYUAN,315,350,
YANTIAN,QINZHOU,270,300,
YANTIAN,SANBU,270,300,653934
YANTIAN,SANSHAN,135,150,
YANTIAN,SANSHUI,130,160,659691
NINGBO,SHANGRAO,570,585,
YANTIAN,SHANTOU,135,150,639892
NINGBO,SHAOXING,340,520,
SHANGHAI,SHASHI,315,350,
YANTIAN,SHUNDE,90,100,649187
SHANGHAI,SUZHOU,340,450,
SHANGHAI,TAICANG,180,200,656999
NINGBO,TAIZHOU - LUQIAO,230,265,
SHANGHAI,TAIZHOU,225,250,657713
SHANGHAI,TIANJINXINGANG,0,0,660270
