Timestamp,2025-11-14T00:11:22.089Z
POL,POD,Place of Delivery,Curr,D20,D40
NCPRC BP LAX,LOS ANGELES,,USD,1530,1800
NCPRC BP LAX,LONG BEACH,,USD,1530,1800
NCPRC BP OAK,OAKLAND,,USD,1530,1800
NCPRC BP LAX,LOS ANGELES,CHICAGO,USD,3530,4150
NCPRC BP LAX,LONG BEACH,CHICAGO,USD,3530,4150
NCPRC BP LAX,LOS ANGELES,CINCINNATI,USD,4040,4750
NCPRC BP LAX,LONG BEACH,CINCINNATI,USD,4040,4750
NCPRC BP LAX,LOS ANGELES,CLEVELAND,USD,4040,4750
NCPRC BP LAX,LONG BEACH,CLEVELAND,USD,4040,4750
NCPRC BP LAX,LOS ANGELES,COLUMBUS,USD,4040,4750
NCPRC BP LAX,LONG BEACH,COLUMBUS,USD,4040,4750
NCPRC BP LAX,LOS ANGELES,DALLAS,USD,3530,4150
NCPRC BP LAX,LONG BEACH,DALLAS,USD,3530,4150
NCPRC BP LAX,LOS ANGELES,DENVER,USD,4210,4950
NCPRC BP LAX,LONG BEACH,DENVER,USD,4210,4950
NCPRC BP LAX,LOS ANGELES,DETROIT,USD,4380,5150
NCPRC BP LAX,LONG BEACH,DETROIT,USD,4380,5150
NCPRC BP LAX,LOS ANGELES,EL PASO,USD,3785,4450
NCPRC BP LAX,LONG BEACH,EL PASO,USD,3785,4450
NCPRC BP LAX,LOS ANGELES,HOUSTON,USD,3870,4550
NCPRC BP LAX,LONG BEACH,HOUSTON,USD,3870,4550
NCPRC BP LAX,LOS ANGELES,INDIANAPOLIS,USD,6080,7150
NCPRC BP LAX,LONG BEACH,INDIANAPOLIS,USD,6080,7150
NCPRC BP LAX,LOS ANGELES,KANSAS CITY,USD,3530,4150
NCPRC BP LAX,LONG BEACH,KANSAS CITY,USD,3530,4150
NCPRC BP LAX,LOS ANGELES,LOUISVILLE,USD,4380,5150
NCPRC BP LAX,LONG BEACH,LOUISVILLE,USD,4380,5150
NCPRC BP LAX,LOS ANGELES,MEMPHIS,USD,3615,4250
NCPRC BP LAX,LONG BEACH,MEMPHIS,USD,3615,4250
NCPRC BP LAX,LOS ANGELES,NEW ORLEANS,USD,3615,4250
NCPRC BP LAX,LONG BEACH,NEW ORLEANS,USD,3615,4250
NCPRC BP LAX,LOS ANGELES,SALT LAKE CITY,USD,3700,4350
NCPRC BP LAX,LONG BEACH,SALT LAKE CITY,USD,3700,4350
NCPRC BP OAK,OAKLAND,SALT LAKE CITY,USD,3445,4050
NCPRC BP LAX,LOS ANGELES,SAN ANTONIO,USD,4805,5650
NCPRC BP LAX,LONG BEACH,SAN ANTONIO,USD,4805,5650
NCPRC BP LAX,LOS ANGELES,ST LOUIS,USD,4210,4950
NCPRC BP LAX,LONG BEACH,ST LOUIS,USD,4210,4950
NCPRC BP LAX,LOS ANGELES,ATLANTA,USD,5400,6350
NCPRC BP LAX,LONG BEACH,ATLANTA,USD,5400,6350
NCPRC BP LAX,LOS ANGELES,BALTIMORE,USD,5400,6350
NCPRC BP LAX,LONG BEACH,BALTIMORE,USD,5400,6350
NCPRC BP LAX,LOS ANGELES,CHARLOTTE,USD,5400,6350
NCPRC BP LAX,LONG BEACH,CHARLOTTE,USD,5400,6350
NCPRC BP LAX,LOS ANGELES,NEW YORK,USD,5400,6350
