Timestamp,2025-11-14T00:11:22.089Z
POL,POD,Place of Delivery,Curr,D20,D40
NCPRC BP LAX,LAX-LGB,,USD,1530,1800
NCPRC BP OAK,OAKLAND,,USD,1530,1800
NCPRC BP LAX,LAX-LGB,CHICAGO,USD,3530,4150
NCPRC BP LAX,LAX-LGB,CINCINNATI,USD,4040,4750
NCPRC BP LAX,LAX-LGB,CLEVELAND,USD,4040,4750
NCPRC BP LAX,LAX-LGB,COLUMBUS,USD,4040,4750
NCPRC BP LAX,LAX-LGB,DALLAS,USD,3530,4150
NCPRC BP LAX,LAX-LGB,DENVER,USD,4210,4950
NCPRC BP LAX,LAX-LGB,DETROIT,USD,4380,5150
NCPRC BP LAX,LAX-LGB,EL PASO,USD,3785,4450
NCPRC BP LAX,LAX-LGB,HOUSTON,USD,3870,4550
NCPRC BP LAX,LAX-LGB,INDIANAPOLIS,USD,6080,7150
NCPRC BP LAX,LAX-LGB,KANSAS CITY,USD,3530,4150
NCPRC BP LAX,LAX-LGB,LOUISVILLE,USD,4380,5150
NCPRC BP LAX,LAX-LGB,MEMPHIS,USD,3615,4250
NCPRC BP LAX,LAX-LGB,NEW ORLEANS,USD,3615,4250
NCPRC BP LAX,LAX-LGB,SALT LAKE CITY,USD,3700,4350
NCPRC BP OAK,OAKLAND,SALT LAKE CITY,USD,3445,4050
NCPRC BP LAX,LAX-LGB,SAN ANTONIO,USD,4805,5650
NCPRC BP LAX,LAX-LGB,ST LOUIS,USD,4210,4950
NCPRC BP LAX,LAX-LGB,ATLANTA,USD,5400,6350
NCPRC BP LAX,LAX-LGB,BALTIMORE,USD,5400,6350
NCPRC BP LAX,LAX-LGB,CHARLOTTE,USD,5400,6350
NCPRC BP LAX,LAX-LGB,NEW YORK,USD,5400,6350
NCPRC BP LAX,LAX-LGB,NORFOLK,USD,5400,6350
SPRC BP LAX,LAX-LGB,,USD,1530,1800
SPRC BP OAK,OAKLAND,,USD,1530,1800
SPRC BP LAX,LAX-LGB,CHICAGO,USD,3530,4150
SPRC BP LAX,LAX-LGB,CINCINNATI,USD,4040,4750
SPRC BP LAX,LAX-LGB,CLEVELAND,USD,4040,4750
SPRC BP LAX,LAX-LGB,COLUMBUS,USD,4040,4750
SPRC BP LAX,LAX-LGB,DALLAS,USD,3530,4150
SPRC BP LAX,LAX-LGB,DENVER,USD,4210,4950
SPRC BP LAX,LAX-LGB,DETROIT,USD,4380,5150
SPRC BP LAX,LAX-LGB,EL PASO,USD,3785,4450
SPRC BP LAX,LAX-LGB,HOUSTON,USD,3870,4550
SPRC BP LAX,LAX-LGB,INDIANAPOLIS,USD,6080,7150
SPRC BP LAX,LAX-LGB,KANSAS CITY,USD,3530,4150
SPRC BP LAX,LAX-LGB,LOUISVILLE,USD,4380,5150
SPRC BP LAX,LAX-LGB,MEMPHIS,USD,3615,4250
SPRC BP LAX,LAX-LGB,NEW ORLEANS,USD,3615,4250
SPRC BP LAX,LAX-LGB,SALT LAKE CITY,USD,3700,4350
SPRC BP OAK,OAKLAND,SALT LAKE CITY,USD,3445,4050
SPRC BP LAX,LAX-LGB,SAN ANTONIO,USD,4805,5650
SPRC BP LAX,LAX-LGB,ST LOUIS,USD,4210,4950
SPRC BP LAX,LAX-LGB,ATLANTA,USD,5400,6350
SPRC BP LAX,LAX-LGB,BALTIMORE,USD,5400,6350
SPRC BP LAX,LAX-LGB,CHARLOTTE,USD,5400,6350
SPRC BP LAX,LAX-LGB,NEW YORK,USD,5400,6350
SPRC BP LAX,LAX-LGB,NORFOLK,USD,5400,6350
BP TW,LAX-LGB,,USD,1350,1800
BP TW,OAKLAND,,USD,1350,1800
BP TW,LAX-LGB,CHICAGO,USD,3320,4150
BP TW,LAX-LGB,CINCINNATI,USD,3800,4750
BP TW,LAX-LGB,CLEVELAND,USD,3800,4750
BP TW,LAX-LGB,COLUMBUS,USD,3800,4750
BP TW,LAX-LGB,DALLAS,USD,3320,4150
BP TW,LAX-LGB,DENVER,USD,3960,4950
BP TW,LAX-LGB,DETROIT,USD,4120,5150
BP TW,LAX-LGB,EL PASO,USD,3560,4450
BP TW,LAX-LGB,HOUSTON,USD,3640,4550
BP TW,LAX-LGB,INDIANAPOLIS,USD,5720,7150
BP TW,LAX-LGB,KANSAS CITY,USD,3320,4150
BP TW,OAKLAND,KANSAS CITY,USD,3320,4150
BP TW,LAX-LGB,LOUISVILLE,USD,4120,5150
BP TW,LAX-LGB,MEMPHIS,USD,3400,4250
BP TW,LAX-LGB,NEW ORLEANS,USD,3400,4250
BP TW,LAX-LGB,SALT LAKE CITY,USD,3480,4350
BP TW,OAKLAND,SALT LAKE CITY,USD,3240,4050
BP TW,LAX-LGB,SAN ANTONIO,USD,4520,5650
BP TW,LAX-LGB,ST LOUIS,USD,3960,4950
BP TW,LAX-LGB,ATLANTA,USD,5080,6350
BP TW,LAX-LGB,BALTIMORE,USD,5080,6350
BP TW,LAX-LGB,CHARLOTTE,USD,5080,6350
BP TW,LAX-LGB,NEW YORK,USD,5080,6350
BP TW,LAX-LGB,NORFOLK,USD,5080,6350
BUSAN,LAX-LGB,,USD,1440,1800
BUSAN,OAKLAND,,USD,1440,1800
BUSAN,LAX-LGB,CHICAGO,USD,3530,4150
BUSAN,LAX-LGB,CINCINNATI,USD,4040,4750
BUSAN,LAX-LGB,CLEVELAND,USD,4040,4750
BUSAN,LAX-LGB,COLUMBUS,USD,4040,4750
BUSAN,LAX-LGB,DALLAS,USD,3530,4150
BUSAN,LAX-LGB,DENVER,USD,4210,4950
BUSAN,LAX-LGB,DETROIT,USD,4380,5150
BUSAN,LAX-LGB,EL PASO,USD,3785,4450
BUSAN,LAX-LGB,HOUSTON,USD,3870,4550
BUSAN,LAX-LGB,INDIANAPOLIS,USD,6080,7150
BUSAN,LAX-LGB,KANSAS CITY,USD,3530,4150
BUSAN,LAX-LGB,LOUISVILLE,USD,4380,5150
BUSAN,LAX-LGB,MEMPHIS,USD,3615,4250
BUSAN,LAX-LGB,NEW ORLEANS,USD,3615,4250
BUSAN,LAX-LGB,SALT LAKE CITY,USD,3700,4350
BUSAN,OAKLAND,SALT LAKE CITY,USD,3445,4050
BUSAN,LAX-LGB,SAN ANTONIO,USD,4805,5650
BUSAN,LAX-LGB,ST LOUIS,USD,4210,4950
BUSAN,LAX-LGB,ATLANTA,USD,5400,6350
BUSAN,LAX-LGB,BALTIMORE,USD,5400,6350
BUSAN,LAX-LGB,CHARLOTTE,USD,5400,6350
BUSAN,LAX-LGB,NEW YORK,USD,5400,6350
BUSAN,LAX-LGB,NORFOLK,USD,5400,6350
SE ASIA BP PSW,LAX-LGB,,USD,1530,1800
SE ASIA BP PSW,OAKLAND,,USD,1530,1800
SE ASIA BP PSW,LAX-LGB,CHICAGO,USD,3530,4150
SE ASIA BP PSW,LAX-LGB,CINCINNATI,USD,4040,4750
SE ASIA BP PSW,LAX-LGB,CLEVELAND,USD,4040,4750
SE ASIA BP PSW,LAX-LGB,COLUMBUS,USD,4040,4750
SE ASIA BP PSW,LAX-LGB,DALLAS,USD,3530,4150
SE ASIA BP PSW,LAX-LGB,DENVER,USD,4210,4950
SE ASIA BP PSW,LAX-LGB,DETROIT,USD,4380,5150
SE ASIA BP PSW,LAX-LGB,EL PASO,USD,3785,4450
SE ASIA BP PSW,LAX-LGB,HOUSTON,USD,3870,4550
SE ASIA BP PSW,LAX-LGB,INDIANAPOLIS,USD,6080,7150
SE ASIA BP PSW,LAX-LGB,KANSAS CITY,USD,3530,4150
SE ASIA BP PSW,LAX-LGB,LOUISVILLE,USD,4380,5150
SE ASIA BP PSW,LAX-LGB,MEMPHIS,USD,3615,4250
SE ASIA BP PSW,LAX-LGB,NEW ORLEANS,USD,3615,4250
SE ASIA BP PSW,LAX-LGB,SALT LAKE CITY,USD,3700,4350
SE ASIA BP PSW,OAKLAND,SALT LAKE CITY,USD,3445,4050
SE ASIA BP PSW,LAX-LGB,SAN ANTONIO,USD,4805,5650
SE ASIA BP PSW,LAX-LGB,ST LOUIS,USD,4210,4950
SE ASIA BP PSW,LAX-LGB,ATLANTA,USD,5400,6350
SE ASIA BP PSW,LAX-LGB,BALTIMORE,USD,5400,6350
SE ASIA BP PSW,LAX-LGB,CHARLOTTE,USD,5400,6350
SE ASIA BP PSW,LAX-LGB,NEW YORK,USD,5400,6350
SE ASIA BP PSW,LAX-LGB,NORFOLK,USD,5400,6350
BP SEA,SEATTLE,,USD,1260,1800
BP TIW,TACOMA,,USD,1260,1800
BP SEA,SEATTLE,CHICAGO,USD,3360,3950
BP SEA,SEATTLE,CINCINNATI,USD,3870,4550
BP SEA,SEATTLE,CLEVELAND,USD,3870,4550
BP SEA,SEATTLE,COLUMBUS,USD,3870,4550
BP SEA,SEATTLE,DETROIT,USD,3955,4650
BP SEA,SEATTLE,INDIANAPOLIS,USD,5910,6950
BP SEA,SEATTLE,LOUISVILLE,USD,4210,4950
BP SEA,SEATTLE,MEMPHIS,USD,3445,4050
BP SEA,SEATTLE,OMAHA,USD,3360,3950
BP SEA,SEATTLE,PORTLAND,USD,2295,2700
BP SEA,SEATTLE,ST PAUL,USD,3700,4350
KAOHSIUNG,SEATTLE,,USD,1260,1800
KAOHSIUNG,SEATTLE,CHICAGO,USD,3160,3950
KAOHSIUNG,SEATTLE,CINCINNATI,USD,3640,4550
KAOHSIUNG,SEATTLE,CLEVELAND,USD,3640,4550
KAOHSIUNG,SEATTLE,COLUMBUS,USD,3640,4550
KAOHSIUNG,SEATTLE,DETROIT,USD,3720,4650
KAOHSIUNG,SEATTLE,INDIANAPOLIS,USD,5560,6950
KAOHSIUNG,SEATTLE,LOUISVILLE,USD,3960,4950
KAOHSIUNG,SEATTLE,MEMPHIS,USD,3240,4050
KAOHSIUNG,SEATTLE,OMAHA,USD,3160,3950
KAOHSIUNG,SEATTLE,PORTLAND,USD,2160,2700
KAOHSIUNG,SEATTLE,ST PAUL,USD,3480,4350
BP TW,TACOMA,,USD,1260,1800
BUSAN,SEATTLE,,USD,1260,1800
BUSAN,SEATTLE,CHICAGO,USD,3360,3950
BUSAN,SEATTLE,CINCINNATI,USD,3870,4550
BUSAN,SEATTLE,CLEVELAND,USD,3870,4550
BUSAN,SEATTLE,COLUMBUS,USD,3870,4550
BUSAN,SEATTLE,DETROIT,USD,3955,4650
BUSAN,SEATTLE,INDIANAPOLIS,USD,5910,6950
BUSAN,SEATTLE,LOUISVILLE,USD,4210,4950
BUSAN,SEATTLE,MEMPHIS,USD,3445,4050
BUSAN,SEATTLE,OMAHA,USD,3360,3950
BUSAN,SEATTLE,PORTLAND,USD,2295,2700
BUSAN,SEATTLE,ST PAUL,USD,3700,4350
SINGAPORE,SEATTLE,,USD,1260,1800
SINGAPORE,TACOMA,,USD,1260,1800
SINGAPORE,SEATTLE,CHICAGO,USD,3360,3950
SINGAPORE,SEATTLE,CINCINNATI,USD,3870,4550
SINGAPORE,SEATTLE,CLEVELAND,USD,3870,4550
SINGAPORE,SEATTLE,COLUMBUS,USD,3870,4550
SINGAPORE,SEATTLE,DETROIT,USD,3955,4650
SINGAPORE,SEATTLE,INDIANAPOLIS,USD,5910,6950
SINGAPORE,SEATTLE,LOUISVILLE,USD,4210,4950
SINGAPORE,SEATTLE,MEMPHIS,USD,3445,4050
SINGAPORE,SEATTLE,OMAHA,USD,3360,3950
SINGAPORE,SEATTLE,PORTLAND,USD,2295,2700
SINGAPORE,SEATTLE,ST PAUL,USD,3700,4350
LAEM CHABANG,SEATTLE,,USD,1330,1900
LAEM CHABANG,TACOMA,,USD,1330,1900
LAEM CHABANG,SEATTLE,CHICAGO,USD,3445,4050
LAEM CHABANG,SEATTLE,CINCINNATI,USD,3955,4650
LAEM CHABANG,SEATTLE,CLEVELAND,USD,3955,4650
LAEM CHABANG,SEATTLE,COLUMBUS,USD,3955,4650
LAEM CHABANG,SEATTLE,DETROIT,USD,4040,4750
LAEM CHABANG,SEATTLE,INDIANAPOLIS,USD,5995,7050
LAEM CHABANG,SEATTLE,LOUISVILLE,USD,4295,5050
LAEM CHABANG,SEATTLE,MEMPHIS,USD,3530,4150
LAEM CHABANG,SEATTLE,OMAHA,USD,3445,4050
LAEM CHABANG,SEATTLE,PORTLAND,USD,2380,2800
LAEM CHABANG,SEATTLE,ST PAUL,USD,3785,4450
VUNG TAU,SEATTLE,,USD,1260,1800
VUNG TAU,SEATTLE,CHICAGO,USD,3360,3950
VUNG TAU,SEATTLE,CINCINNATI,USD,3870,4550
VUNG TAU,SEATTLE,CLEVELAND,USD,3870,4550
VUNG TAU,SEATTLE,COLUMBUS,USD,3870,4550
VUNG TAU,SEATTLE,DETROIT,USD,3955,4650
VUNG TAU,SEATTLE,INDIANAPOLIS,USD,5910,6950
VUNG TAU,SEATTLE,LOUISVILLE,USD,4210,4950
VUNG TAU,SEATTLE,MEMPHIS,USD,3445,4050
VUNG TAU,SEATTLE,OMAHA,USD,3360,3950
VUNG TAU,SEATTLE,PORTLAND,USD,2295,2700
VUNG TAU,SEATTLE,ST PAUL,USD,3700,4350
BUSAN,HONOLULU,,USD,4000,5000
SHANGHAI,HONOLULU,,USD,3540,4460
NINGBO,HONOLULU,,USD,3540,4460
QINGDAO,HONOLULU,,USD,3650,4600
TIANJINXINGANG,HONOLULU,,USD,3650,4600
DALIAN,HONOLULU,,USD,3650,4600
HUANGPU,HONOLULU,,USD,3850,4860
XIAMEN,HONOLULU,,USD,3850,4860
YANTIAN,HONOLULU,,USD,3850,4860
SHEKOU,HONOLULU,,USD,3850,4860
HONG KONG,HONOLULU,,USD,3850,4860
KAOHSIUNG,HONOLULU,,USD,3770,4750
TAICHUNG,HONOLULU,,USD,3850,4850
KEELUNG,HONOLULU,,USD,3850,4850
BANGKOK,HONOLULU,,USD,3730,4700
LAEM CHABANG,HONOLULU,,USD,3730,4700
JAKARTA,HONOLULU,,USD,3730,4700
SURABAYA,HONOLULU,,USD,3810,4800
SEMARANG,HONOLULU,,USD,3810,4800
SINGAPORE,HONOLULU,,USD,3730,4700
PORT KLANG,HONOLULU,,USD,3730,4700
PENANG,HONOLULU,,USD,3810,4800
PASIR GUDANG,HONOLULU,,USD,3810,4800
TANJUNG PELEPAS,HONOLULU,,USD,3810,4800
MANILA,HONOLULU,,USD,3890,4900
CEBU,HONOLULU,,USD,4050,5100
HO CHI MINH,HONOLULU,,USD,3530,4450
HAIPHONG,HONOLULU,,USD,3530,4450
