Timestamp,2025-09-02T20:15:00.202Z
POL,POD,Place of Delivery,Curr,D20,D40
NCPRC BP LAX,LOS ANGELES,,USD,2085,2450
NCPRC BP LAX,LONG BEACH,,USD,2085,2450
NCPRC BP OAK,OAKLAND,,USD,2085,2450
NCPRC BP LAX,LOS ANGELES,CHICAGO,USD,4210,4950
NCPRC BP LAX,LONG BEACH,CHICAGO,USD,4210,4950
NCPRC BP LAX,LOS ANGELES,CINCINNATI,USD,5060,5950
NCPRC BP LAX,LONG BEACH,CINCINNATI,USD,5060,5950
NCPRC BP LAX,LOS ANGELES,CLEVELAND,USD,5060,5950
NCPRC BP LAX,LONG BEACH,CLEVELAND,USD,5060,5950
NCPRC BP LAX,LOS ANGELES,COLUMBUS,USD,5060,5950
NCPRC BP LAX,LONG BEACH,COLUMBUS,USD,5060,5950
NCPRC BP LAX,LOS ANGELES,DALLAS,USD,4210,4950
NCPRC BP LAX,LONG BEACH,DALLAS,USD,4210,4950
NCPRC BP LAX,LOS ANGELES,DENVER,USD,4890,5750
NCPRC BP LAX,LONG BEACH,DENVER,USD,4890,5750
NCPRC BP LAX,LOS ANGELES,DETROIT,USD,5060,5950
NCPRC BP LAX,LONG BEACH,DETROIT,USD,5060,5950
NCPRC BP LAX,LOS ANGELES,EL PASO,USD,4465,5250
NCPRC BP LAX,LONG BEACH,EL PASO,USD,4465,5250
NCPRC BP LAX,LOS ANGELES,HOUSTON,USD,4550,5350
NCPRC BP LAX,LONG BEACH,HOUSTON,USD,4550,5350
NCPRC BP LAX,LOS ANGELES,INDIANAPOLIS,USD,6760,7950
NCPRC BP LAX,LONG BEACH,INDIANAPOLIS,USD,6760,7950
NCPRC BP LAX,LOS ANGELES,KANSAS CITY,USD,4210,4950
NCPRC BP LAX,LONG BEACH,KANSAS CITY,USD,4210,4950
NCPRC BP LAX,LOS ANGELES,LOUISVILLE,USD,5060,5950
NCPRC BP LAX,LONG BEACH,LOUISVILLE,USD,5060,5950
