Timestamp,2025-11-14T15:52:51.106Z
POL,POD,Place of Delivery,Curr,D20,D40
KOLKATA(CALCUTTA),LAX-LGB,,USD,1600,2000
CHENNAI,LAX-LGB,,USD,1520,1900
COCHIN,LAX-LGB,,USD,1730,2160
COLOMBO,LAX-LGB,,USD,1680,2100
CHITTAGONG,LAX-LGB,,USD,2000,2500
HALDIA,LAX-LGB,,USD,1680,2100
HAZIRA,LAX-LGB,,USD,1520,1900
KARACHI,LAX-LGB,,USD,1520,1900
KRISHNAPATNAM,LAX-LGB,,USD,1680,2100
MANGALORE,LAX-LGB,,USD,1600,2000
MUNDRA,LAX-LGB,,USD,1520,1900
NHAVA SHEVA,LAX-LGB,,USD,1520,1900
PIPAVAV,LAX-LGB,,USD,1520,1900
TUTICORIN,LAX-LGB,,USD,1520,1900
VISAKHAPATNAM,LAX-LGB,,USD,1520,1900
KOLKATA(CALCUTTA),OAKLAND,,USD,1600,2000
CHENNAI,OAKLAND,,USD,1520,1900
COCHIN,OAKLAND,,USD,1730,2160
COLOMBO,OAKLAND,,USD,1680,2100
CHITTAGONG,OAKLAND,,USD,2000,2500
HALDIA,OAKLAND,,USD,1680,2100
HAZIRA,OAKLAND,,USD,1520,1900
KARACHI,OAKLAND,,USD,1520,1900
KRISHNAPATNAM,OAKLAND,,USD,1680,2100
MANGALORE,OAKLAND,,USD,1600,2000
MUNDRA,OAKLAND,,USD,1520,1900
NHAVA SHEVA,OAKLAND,,USD,1520,1900
PIPAVAV,OAKLAND,,USD,1520,1900
TUTICORIN,OAKLAND,,USD,1520,1900
VISAKHAPATNAM,OAKLAND,,USD,1520,1900
KOLKATA(CALCUTTA),LAX-LGB,DENVER,USD,3440,4300
CHENNAI,LAX-LGB,DENVER,USD,3280,4100
COCHIN,LAX-LGB,DENVER,USD,3480,4350
COLOMBO,LAX-LGB,DENVER,USD,3600,4500
CHITTAGONG,LAX-LGB,DENVER,USD,3670,4590
HALDIA,LAX-LGB,DENVER,USD,3440,4300
HAZIRA,LAX-LGB,DENVER,USD,3280,4100
KARACHI,LAX-LGB,DENVER,USD,2960,3700
KRISHNAPATNAM,LAX-LGB,DENVER,USD,3480,4350
MANGALORE,LAX-LGB,DENVER,USD,3520,4400
MUNDRA,LAX-LGB,DENVER,USD,3280,4100
NHAVA SHEVA,LAX-LGB,DENVER,USD,3280,4100
PIPAVAV,LAX-LGB,DENVER,USD,3360,4200
TUTICORIN,LAX-LGB,DENVER,USD,3375,4220
VISAKHAPATNAM,LAX-LGB,DENVER,USD,3240,4050
KOLKATA(CALCUTTA),LAX-LGB,EL PASO,USD,3120,3900
CHENNAI,LAX-LGB,EL PASO,USD,3120,3900
COCHIN,LAX-LGB,EL PASO,USD,3200,4000
COLOMBO,LAX-LGB,EL PASO,USD,3280,4100
CHITTAGONG,LAX-LGB,EL PASO,USD,3350,4190
HALDIA,LAX-LGB,EL PASO,USD,3120,3900
HAZIRA,LAX-LGB,EL PASO,USD,3120,3900
KARACHI,LAX-LGB,EL PASO,USD,2440,3050
KRISHNAPATNAM,LAX-LGB,EL PASO,USD,3160,3950
MANGALORE,LAX-LGB,EL PASO,USD,3240,4050
MUNDRA,LAX-LGB,EL PASO,USD,3120,3900
NHAVA SHEVA,LAX-LGB,EL PASO,USD,3120,3900
PIPAVAV,LAX-LGB,EL PASO,USD,3120,3900
TUTICORIN,LAX-LGB,EL PASO,USD,3120,3900
VISAKHAPATNAM,LAX-LGB,EL PASO,USD,3120,3900
KOLKATA(CALCUTTA),LAX-LGB,ST LOUIS,USD,3720,4650
CHENNAI,LAX-LGB,ST LOUIS,USD,3745,4680
COCHIN,LAX-LGB,ST LOUIS,USD,3720,4650
COLOMBO,LAX-LGB,ST LOUIS,USD,3760,4700
CHITTAGONG,LAX-LGB,ST LOUIS,USD,3910,4890
HALDIA,LAX-LGB,ST LOUIS,USD,3720,4650
HAZIRA,LAX-LGB,ST LOUIS,USD,3680,4600
KARACHI,LAX-LGB,ST LOUIS,USD,3600,4500
KRISHNAPATNAM,LAX-LGB,ST LOUIS,USD,3720,4650
MANGALORE,LAX-LGB,ST LOUIS,USD,3520,4400
MUNDRA,LAX-LGB,ST LOUIS,USD,3680,4600
NHAVA SHEVA,LAX-LGB,ST LOUIS,USD,3680,4600
PIPAVAV,LAX-LGB,ST LOUIS,USD,3680,4600
TUTICORIN,LAX-LGB,ST LOUIS,USD,3720,4650
VISAKHAPATNAM,LAX-LGB,ST LOUIS,USD,3720,4650
KOLKATA(CALCUTTA),LAX-LGB,SALT LAKE CITY,USD,3720,4650
CHENNAI,LAX-LGB,SALT LAKE CITY,USD,3745,4680
COCHIN,LAX-LGB,SALT LAKE CITY,USD,3720,4650
COLOMBO,LAX-LGB,SALT LAKE CITY,USD,3760,4700
CHITTAGONG,LAX-LGB,SALT LAKE CITY,USD,3910,4890
HALDIA,LAX-LGB,SALT LAKE CITY,USD,3720,4650
HAZIRA,LAX-LGB,SALT LAKE CITY,USD,3680,4600
KARACHI,LAX-LGB,SALT LAKE CITY,USD,3600,4500
KRISHNAPATNAM,LAX-LGB,SALT LAKE CITY,USD,3720,4650
MANGALORE,LAX-LGB,SALT LAKE CITY,USD,3520,4400
MUNDRA,LAX-LGB,SALT LAKE CITY,USD,3680,4600
NHAVA SHEVA,LAX-LGB,SALT LAKE CITY,USD,3680,4600
PIPAVAV,LAX-LGB,SALT LAKE CITY,USD,3680,4600
TUTICORIN,LAX-LGB,SALT LAKE CITY,USD,3720,4650
VISAKHAPATNAM,LAX-LGB,SALT LAKE CITY,USD,3720,4650
CHITTAGONG,LAX-LGB,DALLAS,USD,3520,4400
CHITTAGONG,LAX-LGB,KANSAS CITY,USD,3520,4400
CHITTAGONG,LAX-LGB,MEMPHIS,USD,3920,4900
KOLKATA(CALCUTTA),SEATTLE,,USD,1760,2200
CHENNAI,SEATTLE,,USD,1520,1900
COCHIN,SEATTLE,,USD,2130,2660
COLOMBO,SEATTLE,,USD,2080,2600
CHITTAGONG,SEATTLE,,USD,2400,3000
HALDIA,SEATTLE,,USD,1840,2300
HAZIRA,SEATTLE,,USD,1680,2100
KARACHI,SEATTLE,,USD,1680,2100
MANGALORE,SEATTLE,,USD,1840,2300
MUNDRA,SEATTLE,,USD,1680,2100
NHAVA SHEVA,SEATTLE,,USD,1680,2100
PIPAVAV,SEATTLE,,USD,1680,2100
TUTICORIN,SEATTLE,,USD,1680,2100
VISAKHAPATNAM,SEATTLE,,USD,1680,2100
