Timestamp,2025-07-29T13:25:54.528Z
POL,POD,Place of Delivery,Curr,D20,D40
YANTIAN,LOS ANGELES,,USD,1378,1531
YANTIAN,LONG BEACH,,USD,1378,1531
SHANGHAI,LOS ANGELES,,USD,1378,1531
SHANGHAI,LONG BEACH,,USD,1378,1531
NINGBO,LOS ANGELES,,USD,1378,1531
NINGBO,LONG BEACH,,USD,1378,1531
XIAMEN,LOS ANGELES,,USD,1378,1531
XIAMEN,LONG BEACH,,USD,1378,1531
KAOHSIUNG,LOS ANGELES,,USD,1378,1531
KAOHSIUNG,LONG BEACH,,USD,1378,1531
QINGDAO,LOS ANGELES,,USD,1378,1531
QINGDAO,LONG BEACH,,USD,1378,1531
VUNG TAU,LOS ANGELES,,USD,1378,1531
VUNG TAU,LONG BEACH,,USD,1378,1531
TAIPEI,LOS ANGELES,,USD,1378,1531
TAIPEI,LONG BEACH,,USD,1378,1531
SINGAPORE,LOS ANGELES,,USD,1378,1531
SINGAPORE,LONG BEACH,,USD,1378,1531
NANSHA,LOS ANGELES,,USD,1378,1531
NANSHA,LONG BEACH,,USD,1378,1531
TIANJINXINGANG,LOS ANGELES,,USD,1378,1531
TIANJINXINGANG,LONG BEACH,,USD,1378,1531
PORT KELANG,LOS ANGELES,,USD,1378,1531
PORT KELANG,LONG BEACH,,USD,1378,1531
LAEM CHABANG,LOS ANGELES,,USD,1378,1531
LAEM CHABANG,LONG BEACH,,USD,1378,1531
PUSAN,LOS ANGELES,,USD,1378,1531
PUSAN,LONG BEACH,,USD,1378,1531
HAIPHONG,LOS ANGELES,,USD,1378,1531
HAIPHONG,LONG BEACH,,USD,1378,1531
YANTIAN,LOS ANGELES,CHICAGO,USD,3538,3931
YANTIAN,LONG BEACH,CHICAGO,USD,3538,3931
SHANGHAI,LOS ANGELES,CHICAGO,USD,3538,3931
SHANGHAI,LONG BEACH,CHICAGO,USD,3538,3931
NINGBO,LOS ANGELES,CHICAGO,USD,3538,3931
NINGBO,LONG BEACH,CHICAGO,USD,3538,3931
XIAMEN,LOS ANGELES,CHICAGO,USD,3538,3931
XIAMEN,LONG BEACH,CHICAGO,USD,3538,3931
KAOHSIUNG,LOS ANGELES,CHICAGO,USD,3538,3931
KAOHSIUNG,LONG BEACH,CHICAGO,USD,3538,3931
QINGDAO,LOS ANGELES,CHICAGO,USD,3538,3931
QINGDAO,LONG BEACH,CHICAGO,USD,3538,3931
VUNG TAU,LOS ANGELES,CHICAGO,USD,3538,3931
VUNG TAU,LONG BEACH,CHICAGO,USD,3538,3931
TAIPEI,LOS ANGELES,CHICAGO,USD,3538,3931
TAIPEI,LONG BEACH,CHICAGO,USD,3538,3931
SINGAPORE,LOS ANGELES,CHICAGO,USD,3538,3931
SINGAPORE,LONG BEACH,CHICAGO,USD,3538,3931
NANSHA,LOS ANGELES,CHICAGO,USD,3538,3931
NANSHA,LONG BEACH,CHICAGO,USD,3538,3931
TIANJINXINGANG,LOS ANGELES,CHICAGO,USD,3538,3931
TIANJINXINGANG,LONG BEACH,CHICAGO,USD,3538,3931
PORT KELANG,LOS ANGELES,CHICAGO,USD,3538,3931
PORT KELANG,LONG BEACH,CHICAGO,USD,3538,3931
LAEM CHABANG,LOS ANGELES,CHICAGO,USD,3538,3931
LAEM CHABANG,LONG BEACH,CHICAGO,USD,3538,3931
PUSAN,LOS ANGELES,CHICAGO,USD,3538,3931
PUSAN,LONG BEACH,CHICAGO,USD,3538,3931
HAIPHONG,LOS ANGELES,CHICAGO,USD,3538,3931
HAIPHONG,LONG BEACH,CHICAGO,USD,3538,3931
PHNOM PENH,LOS ANGELES,,USD,1648,1831
PHNOM PENH,LONG BEACH,,USD,1648,1831
PHNOM PENH,LOS ANGELES,CHICAGO,USD,3808,4231
PHNOM PENH,LONG BEACH,CHICAGO,USD,3808,4231
NANSHA,LOS ANGELES,,USD,1513,1681
NANSHA,LONG BEACH,,USD,1513,1681
BUSAN,NEW YORK,,USD,1854,2060
HONG KONG,NEW YORK,,USD,1854,2060
NINGBO,NEW YORK,,USD,1854,2060
VUNG TAU,NEW YORK,,USD,1854,2060
PORT KELANG,NEW YORK,,USD,1854,2060
QINGDAO,NEW YORK,,USD,1854,2060
SHANGHAI,NEW YORK,,USD,1854,2060
SINGAPORE,NEW YORK,,USD,1854,2060
XIAMEN,NEW YORK,,USD,1854,2060
YANTIAN,NEW YORK,,USD,1854,2060
KAOHSIUNG,NEW YORK,,USD,1854,2060
LAEM CHABANG,NEW YORK,,USD,1854,2060
YANTIAN,MIAMI,,USD,1944,2160
SHANGHAI,MIAMI,,USD,1944,2160
NINGBO,MIAMI,,USD,1944,2160
PUSAN,MIAMI,,USD,1944,2160
HAIPHONG,MIAMI,,USD,1944,2160
SINGAPORE,MIAMI,,USD,1944,2160
YOKOHAMA,MIAMI,,USD,1944,2160
NANSHA,NEW YORK,,USD,1989,2210
